video_id,trending_date,likes,log_likes,views,dislikes,comment_count,days_to_trend,views_cap,dislikes_cap,comment_count_cap,days_to_trend_cap,log_views,log_dislikes,log_comments,log_days_to_trend,dislike_view_ratio,comment_view_ratio,title_length,n_tags,first_trend,desc_faltante,category_name,cat_grupo,catgrupo_MedioBajo,catgrupo_MedioAlto,catgrupo_Alto,comments_disabled,ratings_disabled
2kyS6SvSYSE,2017-11-14,57527,10.96002706478233,748374,2966,15954,1,748374.0,2966.0,15954.0,1,13.525659468227653,7.995306620290822,9.677527538712344,0.6931471805599453,0.003963259012205128,0.021318217896399393,34,1,True,False,People & Blogs,MedioAlto,0,1,0,False,False
1ZAPwfrtAFY,2017-11-14,97185,11.484381947152983,2418783,6146,12703,1,2418783.0,6146.0,12703.0,1,14.698775492508977,8.72371943690701,9.449672183486918,0.6931471805599453,0.002540947244957485,0.0052518146522445375,62,4,True,False,Entertainment,MedioAlto,0,1,0,False,False
5qpjK5DgCt4,2017-11-14,146033,11.89159475029123,3191434,5339,8181,2,3191434.0,5339.0,8181.0,2,14.97598121687207,8.582980931954241,9.009691898489343,1.0986122886681098,0.0016729156861774361,0.002563424466869752,53,23,True,False,Comedy,Alto,0,0,1,False,False
puqaWrEC7tY,2017-11-14,10172,9.227492430793749,343168,666,2146,1,343168.0,666.0,2146.0,1,12.745978316175949,6.502790045915623,7.671826797878781,0.6931471805599453,0.00194074039537486,0.006253496829541216,32,27,True,False,Entertainment,MedioAlto,0,1,0,False,False
d380meD0W0M,2017-11-14,132235,11.792343484003547,2095731,1989,17518,2,2095731.0,1989.0,17518.0,2,14.555413453652532,7.595889917718538,9.771041285235823,1.0986122886681098,0.0009490721853138594,0.008358897205795973,24,14,True,False,Entertainment,MedioAlto,0,1,0,False,False
gHZ1Qz0KiKM,2017-11-14,9763,9.186457431512851,119180,511,1434,1,119180.0,511.0,1434.0,1,11.688398624935344,6.238324625039508,7.268920128193722,0.6931471805599453,0.004287632153045813,0.01203222017116966,21,7,True,False,Science & Technology,MedioAlto,0,1,0,False,False
39idVpFF7NQ,2017-11-14,15993,9.679968930891835,2103417,2445,1970,2,2103417.0,2445.0,1970.0,2,14.559074198604902,7.802209316247118,7.58629630715272,1.0986122886681098,0.0011623943326501593,0.0009365713027896989,41,42,True,False,Entertainment,MedioAlto,0,1,0,False,False
nc99ccSXST0,2017-11-14,23663,10.07171018495058,817732,778,3432,2,817732.0,778.0,3432.0,2,13.614291156434923,6.658011045870748,8.141189793457691,1.0986122886681098,0.0009514119540387315,0.004196974069744122,35,13,True,False,Science & Technology,MedioAlto,0,1,0,False,False
jr9QtXwC9vc,2017-11-14,3543,8.173011311724972,826059,119,340,1,826059.0,119.0,340.0,1,13.624422689090196,4.787491742782046,5.831882477283517,0.6931471805599453,0.00014405750678825603,0.0004115928765378744,65,28,True,False,Film & Animation,MedioAlto,0,1,0,False,False
TUmyygCMMGA,2017-11-14,12654,9.445807672979225,256426,1363,2368,1,256426.0,1363.0,2368.0,1,12.454599302696721,7.218176838403408,7.7702232041587855,0.6931471805599453,0.005315373636058746,0.009234632993534197,53,20,True,False,News & Politics,Bajo,0,0,0,False,False
9wRQljFNDW8,2017-11-14,655,6.486160788944089,81377,25,177,1,81377.0,25.0,177.0,1,11.30686024519077,3.258096538021482,5.181783550292085,0.6931471805599453,0.00030721211153028497,0.0021750617496344177,86,49,True,False,Sports,MedioBajo,1,0,0,False,False
